时间戳,高炉编号,温度,压力,风量,喷煤量,料面高度,煤气流量,氧气含量,生产率,能耗,铁水温度,铁水含硅量,常量信号,状态
2026-03-07 11:42:52,BF-001,1295.60,187.55,5271.60,157.70,3.57,2968.00,23.49,56.10,1015.10,1466.60,0.40,5.00,波动调整
2026-03-07 11:42:53,BF-002,1268.80,151.98,4735.90,144.40,4.79,2306.00,23.67,43.50,1012.20,1468.20,0.35,5.00,波动调整
2026-03-07 11:42:54,BF-003,1279.10,155.12,4533.40,141.90,5.70,2332.00,22.97,42.90,998.80,1469.50,0.34,5.00,装料中
2026-03-07 11:42:55,BF-001,1301.50,185.76,5225.80,154.80,3.85,2890.00,23.05,54.90,993.00,1470.10,0.34,5.00,送风中
2026-03-07 11:42:56,BF-002,1266.80,165.60,5002.20,150.70,4.71,2597.00,23.08,48.50,992.60,1462.40,0.36,5.00,波动调整
2026-03-07 11:42:57,BF-003,1280.10,157.28,4617.60,142.40,5.23,2363.00,23.17,44.50,1010.20,1466.10,0.35,5.00,送风中
2026-03-07 11:42:58,BF-001,1304.90,183.20,5193.00,156.40,3.84,2793.00,22.69,52.70,1002.40,1468.70,0.39,5.00,送风中
2026-03-07 11:42:59,BF-002,1276.00,174.71,5116.60,157.90,5.00,2678.00,23.56,51.10,1004.80,1471.30,0.34,5.00,波动调整
2026-03-07 11:43:00,BF-003,1283.10,159.59,4683.80,144.70,5.25,2408.00,22.52,44.20,1005.70,1467.90,0.36,5.00,送风中
2026-03-07 11:43:01,BF-001,1305.30,179.12,5137.20,153.40,4.29,2831.00,22.57,50.70,1007.90,1470.20,0.37,5.00,送风中
2026-03-07 11:43:02,BF-002,1280.20,171.87,5071.60,155.90,4.78,2615.00,22.82,52.60,1003.60,1467.30,0.37,5.00,送风中
2026-03-07 11:43:03,BF-003,1281.20,162.20,4700.50,143.70,4.99,2415.00,22.42,44.40,995.90,1467.40,0.36,5.00,送风中
2026-03-07 11:43:04,BF-001,1303.90,177.10,5117.80,157.90,4.13,2790.00,22.86,52.40,996.70,1467.90,0.35,5.00,送风中
2026-03-07 11:43:05,BF-002,1284.40,174.54,5050.30,152.20,4.65,2735.00,23.24,50.20,995.10,1470.80,0.35,5.00,送风中
2026-03-07 11:43:06,BF-003,1282.10,160.68,4726.30,146.20,5.14,2367.00,22.79,46.20,1002.80,1466.00,0.39,5.00,送风中
2026-03-07 11:43:07,BF-001,1304.90,173.78,5157.70,154.80,4.39,2834.00,23.08,51.50,995.30,1471.10,0.35,5.00,送风中
2026-03-07 11:43:08,BF-002,1288.80,171.50,5012.40,155.00,4.97,2587.00,23.49,50.00,1007.10,1471.00,0.39,5.00,送风中
2026-03-07 11:43:09,BF-003,1282.30,161.37,4728.80,147.20,4.83,2492.00,23.02,46.10,1011.90,1471.20,0.35,5.00,送风中
2026-03-07 11:43:10,BF-001,1303.10,173.61,5095.50,153.80,4.51,2680.00,22.66,50.30,1008.60,1467.80,0.36,5.00,送风中
2026-03-07 11:43:11,BF-002,1287.80,172.02,5010.90,154.80,5.00,2630.00,23.10,50.30,1018.50,1469.70,0.39,5.00,送风中
2026-03-07 11:43:12,BF-003,1286.20,164.34,4827.40,145.20,4.84,2514.00,23.37,48.20,1011.60,1469.20,0.38,5.00,冶炼中
2026-03-07 11:43:13,BF-001,1307.80,174.87,5199.70,154.10,4.44,2720.00,23.22,54.00,1002.50,1465.70,0.38,5.00,冶炼中
2026-03-07 11:43:14,BF-002,1287.30,174.17,5024.20,154.40,4.86,2757.00,22.68,49.00,1007.70,1470.40,0.34,5.00,送风中
2026-03-07 11:43:15,BF-003,1285.40,165.91,4958.70,148.30,4.73,2515.00,22.70,48.60,998.90,1465.40,0.39,5.00,冶炼中
2026-03-07 11:43:16,BF-001,1306.60,178.13,5194.70,154.30,4.12,2805.00,22.78,52.80,994.30,1471.30,0.36,5.00,冶炼中
2026-03-07 11:43:17,BF-002,1293.20,173.96,5071.60,152.40,5.05,2667.00,23.43,50.20,995.60,1470.10,0.38,5.00,送风中
